version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file

v0,BuiLinhDan,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815b,6cdb53d5d7b8,"Baseline chưa tối ưu","Đo hành vi gốc trước khi sửa để có mốc so sánh",case_accuracy,,0.7,runs/v0_B_base_openai_20260729T095529002905.json
v1,BuiLinhDan,system_prompt.md,v1+pa5107f1e5c43+t6cdb53d5d7b8,a5107f1e5c43,6cdb53d5d7b8,"Prompt cấm agent hỏi lại nên nó đoán bừa handle và URL, và gửi thẳng không xác nhận","Bỏ lệnh cấm clarify thì agent sẽ hỏi lại khi thiếu thông tin",case_accuracy,0.7,0.85,runs/v1_B_base_openai_20260729T102756754804.json
v2,BuiLinhDan,tools.yaml,v2+pa5107f1e5c43+tc940ad74fa72,a5107f1e5c43,c940ad74fa72,"Tool declaration mơ hồ: response_type không bắt buộc, lookup và social_search không phân biệt được","Bắt buộc response_type và nêu rõ ranh giới lookup/social_search thì R11 và M02 sẽ đúng",case_accuracy,0.85,0.95,runs/v2_B_base_openai_20260729T103816750907.json
v3,BuiLinhDan,system_prompt.md,v3+pe337a7ef5fff+tc940ad74fa72,e337a7ef5fff,c940ad74fa72,"Hai luật clarify xung đột khi request vừa là hành động vừa thiếu thông tin","Nêu rõ ưu tiên xác nhận hành động trước thì R12 sẽ dùng yes_no",case_accuracy,0.95,0.95,runs/v3_B_base_openai_20260729T104315144078.json
v4,BuiLinhDan,system_prompt.md,v4+pd919f3e9918e+tc940ad74fa72,d919f3e9918e,c940ad74fa72,"v3 nêu đúng luật ưu tiên nhưng đặt sau luật thiếu-thông-tin nên bị lấn át","Đảo luật hành động lên trước và thêm Otherwise thì R12 sẽ dùng yes_no",case_accuracy,0.95,1.0,runs/v4_B_base_openai_20260729T104921756189.json
v5,BuiLinhDan,tools.yaml,v5+pd919f3e9918e+t33cb88dcd4a4,d919f3e9918e,33cb88dcd4a4,"Thêm tool mới export vào declaration nên model nhìn thấy 11 tool thay vì 10","Tool export mô tả đủ hẹp thì không hút nhầm case của format hay send, routing giữ nguyên 1.0",case_accuracy,1.0,1.0,runs/<tên_file_v5>.json
v5,BuiLinhDan,tools.yaml,v5+pd919f3e9918e+t33cb88dcd4a4,d919f3e9918e,33cb88dcd4a4,"Thêm tool mới export nên model nhìn thấy 11 tool thay vì 10","Tool export mô tả đủ hẹp thì không hút nhầm case của format hay send",case_accuracy_base,1.0,1.0,runs/v5_B_base_openai_20260729T113652891356.json
v6,BuiLinhDan,system_prompt.md,v6+p213a34c7f36e+t33cb88dcd4a4,213a34c7f36e,33cb88dcd4a4,"Prompt chưa định nghĩa phạm vi nên agent tra web để dịch và tra arXiv để giải toán","Thêm luật phạm vi ngay đầu prompt thì G04 và G10 sẽ không gọi tool",case_accuracy_group,0.8,1.0,runs/v6_B_group_openai_20260729T114421990963.json
v6,BuiLinhDan,system_prompt.md,v6+p213a34c7f36e+t33cb88dcd4a4,213a34c7f36e,33cb88dcd4a4,"Kiểm tra luật phạm vi có gây regression trên base không","Luật phạm vi diễn đạt là 'requests that need no research' nên không ảnh hưởng case tin tức",case_accuracy_base,1.0,1.0,runs/v6_B_base_openai_20260729T114356426925.json
